"MessageId","TimeStamp","AccountId","CurrentUsage","ExpiryTime","LimitAmount","LimitCode","LimitName","Region","Resource","Service","Source","Status"
"881c4a4a-7a7b-4e84-bf0e-da7695998738","2024-12-14T00:15:00.000Z","301664410103","0%","1735505180","100%","L-64C711AB","Rate of CreateSink requests","us-east-1","CreateSink","Observability Access Manager","aws-solutions.quota-monitor","OK"
"33a79c1c-f3dd-4a90-8df1-b7cd10dd78f4","2024-12-13T20:11:00.000Z","405142580014","0%","1735436780","100%","L-C7624166","Throttle rate for ListRequestedServiceQuotaChangeHistory","us-east-1","ListRequestedServiceQuotaChangeHistory","Service Quotas","aws-solutions.quota-monitor","OK"
"cccc9104-af95-4e21-aa93-06026430545f","2024-12-14T10:11:00.000Z","405142580014","0%","1735582280","100%","L-3AFF0430","GetAdapter throttle limit in transactions per second","ap-southeast-1","GetAdapter","Textract","aws-solutions.quota-monitor","OK"
"e2d8278e-b040-4838-906c-cd0dc3c7072d","2024-12-13T20:11:00.000Z","405142580014","0%","1735436481","100%","L-E694C311","DeleteCertificateProvider API TPS","ap-southeast-1","DeleteCertificateProvider","IoT","aws-solutions.quota-monitor","OK"
"07ffcf4d-0147-4283-83cd-dc36115c28b4","2024-12-14T15:11:00.000Z","405142580014","0%","1735587380","100%","L-CF286151","Rate of DeleteGraphSnapshot API requests","us-east-1","DeleteGraphSnapshot","NeptuneGraph","aws-solutions.quota-monitor","OK"
"8328fbd3-c3d2-4766-90b1-8ad651885bf6","2024-12-14T14:11:00.000Z","405142580014","0%","1735580481","100%","L-62E172F7","Transactions per second (TPS) for the ListPublicKeys API","ap-southeast-1","ListPublicKeys","CloudTrail","aws-solutions.quota-monitor","OK"
"6dfee5c8-ef50-4260-a99d-c75ae2781538","2024-12-14T02:11:00.000Z","405142580014","0%","1735467381","100%","L-99469188","Transactions per second (TPS) for the StartAutomationExecution API","ap-southeast-1","StartAutomationExecution","SSM","aws-solutions.quota-monitor","OK"
"dd859c84-f202-47d0-97f8-22c109d12446","2024-12-14T02:11:00.000Z","405142580014","0%","1735473681","100%","L-E694C311","DeleteCertificateProvider API TPS","ap-southeast-1","DeleteCertificateProvider","IoT","aws-solutions.quota-monitor","OK"
"daf292b9-6156-467d-90ef-5076984c03cd","2024-12-15T21:11:00.000Z","405142580014","0%","1735599381","100%","L-1DA9A53C","Rate of DeleteLink requests","ap-southeast-1","DeleteLink","Observability Access Manager","aws-solutions.quota-monitor","OK"
"e0c57234-09e7-4cb2-a50a-d77a4ac2a69a","2024-12-14T02:11:00.000Z","405142580014","0%","1735505180","100%","L-99631835","ImportKeyMaterial request rate","us-east-1","ImportKeyMaterial","KMS","aws-solutions.quota-monitor","OK"
"1e2fb84a-66f7-433e-9296-0a21fff732b8","2024-12-14T10:11:00.000Z","405142580014","0%","1735589180","100%","L-A30AD1BE","UntagResource Transactions per Second","us-east-1","UntagResource","SNS","aws-solutions.quota-monitor","OK"
"64f64d4c-3826-4198-a607-b1390d5906d0","2024-12-14T05:11:00.000Z","405142580014","0%","1735533081","100%","L-85BA8360","The maximum number of ListInstanceFleets API requests that you can make per second.","ap-southeast-1","ListInstanceFleets","EMR","aws-solutions.quota-monitor","OK"
"0179be49-c568-45f7-9efb-d45ae6bf4380","2024-12-14T03:15:00.000Z","301664410103","0%","1735523481","100%","L-909E6D4A","Throttle rate for ListServiceQuotaIncreaseRequestsInTemplate","us-east-1","ListServiceQuotaIncreaseRequestsInTemplate","Service Quotas","aws-solutions.quota-monitor","OK"
"2891cbc4-25ec-49f0-a25f-bcf2f23a7124","2024-12-14T01:15:00.000Z","301664410103","0%","1735515681","100%","L-75788A8B","DetectDocumentText throttle limit in transactions per second","us-east-1","DetectDocumentText","Textract","aws-solutions.quota-monitor","OK"
"2d9f4fcc-e04c-48f2-85fc-8ab9ecd36634","2024-12-14T02:11:00.000Z","405142580014","0%","1735487181","100%","L-9A0A3162","Rate of BatchEvaluateGeofences API requests","ap-southeast-1","BatchEvaluateGeofences","Location","aws-solutions.quota-monitor","OK"
"e283de6b-a0fa-48ae-9a8d-d0d5e2e7dccc","2024-12-14T08:11:00.000Z","405142580014","0%","1735536681","100%","L-A487133E","Request rate for CreateQueue","us-east-1","CreateQueue","MediaConvert","aws-solutions.quota-monitor","OK"
"811bf002-9d3f-49d2-abfa-bb78e9425706","2024-12-13T18:15:00.000Z","301664410103","0%","1735463780","100%","L-B753F5F0","Rate of ListLinks requests","us-east-1","ListLinks","Observability Access Manager","aws-solutions.quota-monitor","OK"
"d05c7ed8-d064-4616-83c9-1d00eac6d62b","2024-12-14T02:15:00.000Z","301664410103","0%","1735517481","100%","L-8650816F","CreateThingType API TPS","us-east-1","CreateThingType","IoT","aws-solutions.quota-monitor","OK"
"e562a7c9-268a-4700-a9a9-4cfa9ece39d9","2024-12-14T15:15:00.000Z","301664410103","0%","1735609281","100%","L-9421C87F","Rate of GetOrganizationRecommendation API requests","us-east-1","GetOrganizationRecommendation","TrustedAdvisor","aws-solutions.quota-monitor","OK"
"23668d9a-1f4e-476c-be19-04e3e0757112","2024-12-13T19:11:00.000Z","405142580014","0%","1735434080","100%","L-86127B31","Throttle rate for TagResource","us-east-1","TagResource","Service Quotas","aws-solutions.quota-monitor","OK"
"963e832a-4c70-4cae-8365-f969643dd27d","2024-12-13T20:11:00.000Z","405142580014","0%","1735432281","100%","L-EC3CCC13","Rate of SearchPlaceIndexForSuggestions API requests","ap-southeast-1","SearchPlaceIndexForSuggestions","Location","aws-solutions.quota-monitor","OK"
"5b314f75-2082-4714-a9e6-fafb4ceced2b","2024-12-14T05:14:00.000Z","301664410103","0%","1735552581","100%","L-8E63548F","UpdateAgentKnowledgeBase requests per second","ap-southeast-1","UpdateAgentKnowledgeBase","Bedrock","aws-solutions.quota-monitor","OK"
"c248d3c3-4dca-48ef-a998-2d3db46dd3c6","2024-12-13T22:15:00.000Z","301664410103","0%","1735512982","100%","L-1DA9A53C","Rate of DeleteLink requests","us-east-1","DeleteLink","Observability Access Manager","aws-solutions.quota-monitor","OK"
"ed457501-2ebc-4c2a-8a61-8cadb9d36e2c","2024-12-15T18:11:00.000Z","405142580014","0%","1735598780","100%","L-59022E75","Rate of GetMetricStream requests","ap-southeast-1","GetMetricStream","CloudWatch","aws-solutions.quota-monitor","OK"
"9b210eea-ff7c-414f-8b15-5e8d69d8bf40","2024-12-14T04:14:00.000Z","301664410103","0%","1735563982","100%","L-7278F198","StartThingRegistrationTask API TPS","ap-southeast-1","StartThingRegistrationTask","IoT","aws-solutions.quota-monitor","OK"
"42cb7257-a954-4007-ba18-4b385b12cc97","2024-12-13T20:15:00.000Z","301664410103","0%","1735466780","100%","L-7AE60458","Request rate for AssociateCertificate","us-east-1","AssociateCertificate","MediaConvert","aws-solutions.quota-monitor","OK"
"4fa12171-8787-4756-b85f-c12b64750657","2024-12-15T19:11:00.000Z","405142580014","0%","1735597281","100%","L-B6C4D57E","Rate of ListTagsForResource requests","ap-southeast-1","ListTagsForResource","CloudWatch","aws-solutions.quota-monitor","OK"
"941f4d03-3043-481f-b166-6a525cc734ee","2024-12-14T13:11:00.000Z","405142580014","0%","1735584381","100%","L-1E9F6637","DeleteFlowAlias requests per second","us-east-1","DeleteFlowAlias","Bedrock","aws-solutions.quota-monitor","OK"
"16b66536-4805-41ec-9c88-42af800ba3dc","2024-12-14T03:15:00.000Z","301664410103","0%","1735524080","100%","L-16E70933","Rate of BatchGetImage requests","us-east-1","BatchGetImage","ECR","aws-solutions.quota-monitor","OK"
"1f9bb955-c9b8-46b6-a83e-90b7e4089f4a","2024-12-13T17:11:00.000Z","405142580014","0%","1735428081","100%","L-86127B31","Throttle rate for TagResource","ap-southeast-1","TagResource","Service Quotas","aws-solutions.quota-monitor","OK"
"2eb7a038-8055-43ed-a453-4d2608952ee6","2024-12-14T03:11:00.000Z","405142580014","0%","1735486282","100%","L-59022E75","Rate of GetMetricStream requests","us-east-1","GetMetricStream","CloudWatch","aws-solutions.quota-monitor","OK"
